delivery_date,loaded_vehicles
2024-01-12,1679
2024-01-13,986
2024-01-15,854
2024-01-16,1701
2024-01-17,1797
2024-01-18,1731
2024-01-19,1640
2024-01-20,913
2024-01-21,1
2024-01-22,794
2024-01-23,1823
2024-01-24,1759
2024-01-25,1743
2024-01-26,1713
2024-01-27,920
2024-01-28,4
2024-01-29,922
2024-01-30,1838
2024-01-31,1684
2024-02-01,1777
2024-02-02,1708
2024-02-03,983
2024-02-05,829
2024-02-06,1843
2024-02-07,1888
2024-02-08,1850
2024-02-09,1806
2024-02-10,1226
2024-02-12,549
2024-02-13,13
2024-02-14,1705
2024-02-15,1802
2024-02-16,1702
2024-02-17,956
2024-02-19,894
2024-02-20,1767
2024-02-21,1699
2024-02-22,1669
2024-02-23,1589
2024-02-24,956
2024-02-26,798
2024-02-27,1736
2024-02-28,1710
2024-02-29,1628
2024-03-01,1517
2024-03-02,887
2024-03-04,708
2024-03-05,1686
2024-03-06,1417
2024-03-07,1684
2024-03-08,1626
2024-03-09,918
2024-03-11,949
2024-03-12,1775
2024-03-13,1699
2024-03-14,1615
2024-03-15,1632
2024-03-16,903
2024-03-18,857
2024-03-19,1610
2024-03-20,1752
2024-03-21,1709
2024-03-22,1693
2024-03-23,965
2024-03-25,947
2024-03-26,1901
2024-03-27,1953
2024-03-28,1814
2024-03-29,6
2024-03-30,1262
2024-04-01,540
2024-04-02,1748
2024-04-03,1747
2024-04-04,1696
2024-04-05,1600
2024-04-06,916
2024-04-08,749
2024-04-09,1755
2024-04-10,1755
2024-04-11,1726
2024-04-12,1610
2024-04-13,891
2024-04-15,736
2024-04-16,1790
2024-04-17,1706
2024-04-18,1701
2024-04-19,1582
2024-04-20,904
2024-04-22,761
2024-04-23,1602
2024-04-24,1750
2024-04-25,1694
2024-04-26,1628
2024-04-27,917
2024-04-29,899
2024-04-30,1829
2024-05-02,1842
2024-05-03,1775
2024-05-04,940
2024-05-06,1018
2024-05-07,1856
2024-05-08,1771
2024-05-09,1794
2024-05-10,1721
2024-05-11,1032
2024-05-13,793
2024-05-14,1851
2024-05-15,1688
2024-05-16,1742
2024-05-17,1669
2024-05-18,868
2024-05-19,1
2024-05-20,865
2024-05-21,1815
2024-05-22,1804
2024-05-23,1815
2024-05-24,1623
2024-05-25,826
2024-05-27,908
2024-05-28,1901
2024-05-29,1791
2024-05-30,542
2024-05-31,1759
2024-06-01,895
2024-06-03,869
2024-06-04,1842
2024-06-05,1742
2024-06-06,1740
2024-06-07,1680
2024-06-08,882
2024-06-10,937
2024-06-11,1847
2024-06-12,1851
2024-06-13,1621
2024-06-14,1678
2024-06-15,781
2024-06-16,2
2024-06-17,922
2024-06-18,1827
2024-06-19,1806
2024-06-20,1767
2024-06-21,1625
2024-06-22,799
2024-06-23,4
2024-06-24,615
2024-06-25,1433
2024-06-26,1934
2024-06-27,1803
2024-06-28,1714
2024-06-29,989
2024-07-01,560
2024-07-02,1489
2024-07-03,1710
2024-07-04,1738
2024-07-05,1696
2024-07-06,786
2024-07-08,843
2024-07-09,1786
2024-07-10,1853
2024-07-11,1841
2024-07-12,1776
2024-07-13,742
2024-07-14,4
2024-07-15,926
2024-07-16,1677
2024-07-17,1770
2024-07-18,1768
2024-07-19,1623
2024-07-20,832
2024-07-21,1
2024-07-22,958
2024-07-23,1881
2024-07-24,1828
2024-07-25,1791
2024-07-26,1575
2024-07-27,799
2024-07-28,3
2024-07-29,1014
2024-07-30,1886
2024-07-31,1776
2024-08-01,1691
2024-08-02,1658
2024-08-03,731
2024-08-05,937
2024-08-06,1894
2024-08-07,1846
2024-08-08,1853
2024-08-09,1728
2024-08-10,858
2024-08-11,2
2024-08-12,1086
2024-08-13,1922
2024-08-14,1890
2024-08-15,1554
2024-08-16,1664
2024-08-17,731
2024-08-18,1
2024-08-19,1001
2024-08-20,1961
2024-08-21,1914
2024-08-22,1782
2024-08-23,1796
2024-08-24,823
2024-08-25,5
2024-08-26,1006
2024-08-27,1932
2024-08-28,1937
2024-08-29,1894
2024-08-30,1758
2024-08-31,898
2024-09-01,16
2024-09-02,822
2024-09-03,1920
2024-09-04,1993
2024-09-05,1984
2024-09-06,1834
2024-09-07,52
2024-09-09,1564
2024-09-10,1990
2024-09-11,1965
2024-09-12,1968
2024-09-13,1780
2024-09-14,812
2024-09-15,2
2024-09-16,967
2024-09-17,1922
2024-09-18,1966
2024-09-19,1901
2024-09-20,1887
2024-09-21,754
2024-09-22,13
2024-09-23,1100
2024-09-24,2108
2024-09-25,2012
2024-09-26,2005
2024-09-27,1922
2024-09-28,901
2024-09-29,14
2024-09-30,1128
2024-10-01,1887
2024-10-02,1927
2024-10-03,1835
2024-10-04,1909
2024-10-05,874
2024-10-06,13
2024-10-07,1054
2024-10-08,1996
2024-10-09,2077
2024-10-10,1978
2024-10-11,1905
2024-10-12,231
2024-10-13,12
2024-10-14,1572
2024-10-15,2070
2024-10-16,2018
2024-10-17,2107
2024-10-18,1893
2024-10-19,841
2024-10-21,1083
2024-10-22,2117
2024-10-23,2065
2024-10-24,1922
2024-10-25,1942
2024-10-26,914
2024-10-27,10
2024-10-28,1032
2024-10-29,2040
2024-10-30,2111
2024-10-31,1945
2024-11-01,1998
2024-11-02,68
2024-11-04,1514
2024-11-05,2006
2024-11-06,2096
2024-11-07,2010
2024-11-08,1978
2024-11-09,842
2024-11-10,4
2024-11-11,1093
2024-11-12,2247
2024-11-13,2284
2024-11-14,2185
2024-11-15,104
2024-11-16,1093
2024-11-17,21
2024-11-18,1235
2024-11-19,2387
2024-11-20,1713
2024-11-21,1941
2024-11-22,2060
2024-11-23,940
2024-11-24,8
2024-11-25,1312
2024-11-26,2345
2024-11-27,2178
2024-11-28,2182
2024-11-29,2011
2024-11-30,1065
2024-12-01,4
2024-12-02,722
2024-12-03,2187
2024-12-04,2125
2024-12-05,2085
2024-12-06,2152
2024-12-07,889
2024-12-09,1067
2024-12-10,2307
2024-12-11,2292
2024-12-12,2128
2024-12-13,2150
2024-12-14,944
2024-12-16,1177
2024-12-17,2494
2024-12-18,2472
2024-12-19,2441
2024-12-20,2426
2024-12-21,1501
2024-12-22,11
2024-12-23,1568
2024-12-24,2471
2024-12-25,2
2024-12-26,2220
2024-12-27,2625
2024-12-28,1723
2024-12-29,5
2024-12-30,1800
2024-12-31,2161
2025-01-02,118
2025-01-03,2297
2025-01-04,1080
2025-01-06,1230
2025-01-07,2187
2025-01-08,2122
2025-01-09,2015
2025-01-10,1971
2025-01-11,882
2025-01-13,1073
2025-01-14,2077
2025-01-15,1878
2025-01-16,1807
2025-01-17,1924
2025-01-18,783
2025-01-20,1087
2025-01-21,2048
2025-01-22,1979
2025-01-23,1855
2025-01-24,1890
2025-01-25,788
2025-01-27,1009
2025-01-28,2129
2025-01-29,2028
2025-01-30,1936
2025-01-31,1864
2025-02-01,837
2025-02-02,10
2025-02-03,987
2025-02-04,2081
2025-02-05,2057
2025-02-06,1925
2025-02-07,1862
2025-02-08,779
2025-02-09,4
2025-02-10,1057
2025-02-11,2224
2025-02-12,1971
2025-02-13,1838
2025-02-14,1966
2025-02-15,880
2025-02-17,1241
2025-02-18,1999
2025-02-19,1955
2025-02-20,1859
2025-02-21,1818
2025-02-22,811
