delivery_date,loaded_vehicles
2022-04-27,624
2022-04-28,643
2022-04-29,603
2022-04-30,405
2022-05-02,327
2022-05-03,587
2022-05-04,491
2022-05-05,577
2022-05-06,618
2022-05-07,403
2022-05-09,292
2022-05-10,612
2022-05-11,610
2022-05-12,631
2022-05-13,623
2022-05-14,397
2022-05-16,333
2022-05-17,665
2022-05-18,629
2022-05-19,592
2022-05-20,603
2022-05-21,363
2022-05-23,315
2022-05-24,668
2022-05-25,677
2022-05-26,600
2022-05-27,590
2022-05-28,324
2022-05-30,287
2022-05-31,588
2022-06-01,613
2022-06-02,631
2022-06-03,623
2022-06-04,395
2022-06-06,308
2022-06-07,649
2022-06-08,646
2022-06-09,669
2022-06-10,631
2022-06-11,385
2022-06-13,337
2022-06-14,691
2022-06-15,611
2022-06-16,373
2022-06-17,669
2022-06-18,400
2022-06-20,420
2022-06-21,710
2022-06-22,733
2022-06-23,602
2022-06-24,251
2022-06-25,386
2022-06-27,279
2022-06-28,714
2022-06-29,547
2022-06-30,621
2022-07-01,624
2022-07-02,352
2022-07-04,339
2022-07-05,629
2022-07-06,674
2022-07-07,643
2022-07-08,545
2022-07-09,377
2022-07-11,322
2022-07-12,710
2022-07-13,684
2022-07-14,637
2022-07-15,631
2022-07-16,356
2022-07-18,385
2022-07-19,691
2022-07-20,727
2022-07-21,621
2022-07-22,601
2022-07-23,408
2022-07-25,381
2022-07-26,797
2022-07-27,823
2022-07-28,774
2022-07-29,771
2022-07-30,537
2022-08-01,229
2022-08-02,824
2022-08-03,830
2022-08-04,848
2022-08-05,800
2022-08-06,661
2022-08-08,331
2022-08-09,997
2022-08-10,938
2022-08-11,941
2022-08-12,1022
2022-08-13,682
2022-08-15,246
2022-08-16,872
2022-08-17,958
2022-08-18,1028
2022-08-19,986
2022-08-20,657
2022-08-22,495
2022-08-23,1007
2022-08-24,1002
2022-08-25,904
2022-08-26,982
2022-08-27,503
2022-08-29,496
2022-08-30,1020
2022-08-31,945
2022-09-01,906
2022-09-02,924
2022-09-03,624
2022-09-05,452
2022-09-06,1095
2022-09-07,15
2022-09-08,632
2022-09-09,1033
2022-09-10,765
2022-09-12,532
2022-09-13,1150
2022-09-14,1047
2022-09-15,690
2022-09-16,841
2022-09-17,644
2022-09-19,325
2022-09-20,983
2022-09-21,979
2022-09-22,1005
2022-09-23,952
2022-09-24,665
2022-09-26,481
2022-09-27,1086
2022-09-28,1002
2022-09-29,978
2022-09-30,978
2022-10-01,634
2022-10-03,332
2022-10-04,1015
2022-10-05,1037
2022-10-06,1045
2022-10-07,950
2022-10-08,784
2022-10-10,396
2022-10-11,1235
2022-10-12,143
2022-10-13,1232
2022-10-14,1190
2022-10-15,974
2022-10-17,704
2022-10-18,1322
2022-10-19,1248
2022-10-20,1402
2022-10-21,1321
2022-10-22,855
2022-10-24,592
2022-10-25,1396
2022-10-26,1409
2022-10-27,1280
2022-10-28,1283
2022-10-29,797
2022-10-31,732
2022-11-01,1221
2022-11-03,1309
2022-11-04,1371
2022-11-05,1057
2022-11-07,700
2022-11-08,1405
2022-11-09,1301
2022-11-10,1307
2022-11-11,1288
2022-11-12,890
2022-11-14,628
2022-11-16,1531
2022-11-17,1444
2022-11-18,1378
2022-11-19,1030
2022-11-21,752
2022-11-22,1386
2022-11-23,1422
2022-11-24,1251
2022-11-25,1313
2022-11-26,981
2022-11-28,488
2022-11-29,1411
2022-11-30,1391
2022-12-01,1362
2022-12-02,1273
2022-12-03,951
2022-12-05,478
2022-12-06,1402
2022-12-07,1344
2022-12-08,1042
2022-12-09,1231
2022-12-10,1036
2022-12-12,812
2022-12-13,1540
2022-12-14,1459
2022-12-15,1572
2022-12-16,1422
2022-12-17,1067
2022-12-19,790
2022-12-20,1545
2022-12-21,1546
2022-12-22,1492
2022-12-23,1522
2022-12-24,1029
2022-12-26,550
2022-12-27,1584
2022-12-28,1453
2022-12-29,1361
2022-12-30,1287
2022-12-31,836
2023-01-02,56
2023-01-03,1176
2023-01-04,1227
2023-01-05,1271
2023-01-06,1249
2023-01-07,794
2023-01-09,557
2023-01-10,1340
2023-01-11,1351
2023-01-12,1351
2023-01-13,1328
2023-01-14,845
2023-01-16,566
2023-01-17,1369
